date,close,close_adjusted
2016-07-12,197.2300,167.6753
2016-07-13,197.1600,167.6158
2016-07-14,198.3100,168.5935
2016-07-15,198.0100,168.3384
2016-07-18,198.5800,168.8230
2016-07-19,198.3600,168.6360
2016-07-20,199.1600,169.3161
2016-07-21,198.4100,168.6785
2016-07-22,199.3300,169.4606
2016-07-25,198.8500,169.0526
2016-07-26,198.8400,169.0441
2016-07-27,198.7100,168.9336
2016-07-28,198.9300,169.1206
2016-07-29,199.2800,169.4181
2016-08-01,199.0500,169.2226
2016-08-02,197.8100,168.1684
2016-08-03,198.3800,168.6530
2016-08-04,198.5700,168.8146
2016-08-05,200.1700,170.1747
2016-08-08,200.0700,170.0897
2016-08-09,200.2000,170.2003
2016-08-10,199.6900,169.7667
2016-08-11,200.6700,170.5998
2016-08-12,200.4700,170.4298
2016-08-15,201.0500,170.9229
2016-08-16,200.0100,170.0387
2016-08-17,200.3400,170.3193
2016-08-18,200.8200,170.7274
2016-08-19,200.5400,170.4894
2016-08-22,200.5200,170.4723
2016-08-23,200.8900,170.7869
2016-08-24,199.9200,169.9622
2016-08-25,199.7600,169.8261
2016-08-26,199.3800,169.5031
2016-08-29,200.3900,170.3618
2016-08-30,200.0100,170.0387
2016-08-31,199.5200,169.6221
2016-09-01,199.4800,169.5882
2016-09-02,200.3700,170.3448
2016-09-06,201.0000,170.8804
2016-09-07,200.9900,170.8719
2016-09-08,200.5200,170.4723
2016-09-09,195.6800,166.3576
2016-09-12,198.4800,168.7380
2016-09-13,194.7800,166.3324
2016-09-14,194.6600,166.2300
2016-09-15,196.6600,167.9379
2016-09-16,195.8900,167.2803
2016-09-19,195.9500,167.3315
2016-09-20,195.9700,167.3487
2016-09-21,198.1700,169.2273
2016-09-22,199.3600,170.2435
2016-09-23,198.2900,169.3298
2016-09-26,196.7100,167.9805
2016-09-27,197.9100,169.0053
2016-09-28,198.9800,169.9190
2016-09-29,197.1100,168.3221
2016-09-30,198.6900,169.6714
2016-10-03,198.0600,169.1334
2016-10-04,197.1400,168.3478
2016-10-05,197.9600,169.0480
2016-10-06,198.1900,169.2444
2016-10-07,197.4600,168.6210
2016-10-10,198.3700,169.3981
2016-10-11,195.9600,167.3401
2016-10-12,196.2100,167.5536
2016-10-13,195.5800,167.0156
2016-10-14,195.6300,167.0583
2016-10-17,195.0500,166.5630
2016-10-18,196.2000,167.5450
2016-10-19,196.7400,168.0062
2016-10-20,196.4200,167.7329
2016-10-21,196.4700,167.7756
2016-10-24,197.2700,168.4588
2016-10-25,196.7100,167.9805
2016-10-26,196.2700,167.6048
2016-10-27,195.7500,167.1608
2016-10-28,195.1300,166.6313
2016-10-31,195.1300,166.6313
2016-11-01,193.7700,165.4699
2016-11-02,192.4900,164.3769
2016-11-03,191.7400,163.7364
2016-11-04,191.4800,163.5144
2016-11-07,195.6800,167.1010
2016-11-08,196.5800,167.8696
2016-11-09,198.6800,169.6628
2016-11-10,199.1400,170.0557
2016-11-11,198.7700,169.7396
2016-11-14,198.8000,169.7653
2016-11-15,200.4100,171.1402
2016-11-16,200.0700,170.8498
2016-11-17,201.0200,171.6610
2016-11-18,200.6600,171.3537
2016-11-21,202.1400,172.6175
2016-11-22,202.5100,172.9334
2016-11-23,202.6900,173.0872
2016-11-25,203.5000,173.7789
2016-11-28,202.5400,172.9591
2016-11-29,202.8600,173.2324
2016-11-30,202.4000,172.8395
2016-12-01,201.6100,172.1649
2016-12-02,201.7500,172.2845
2016-12-05,202.9100,173.2751
2016-12-06,203.6200,173.8814
2016-12-07,206.2000,176.0845
2016-12-08,206.7400,176.5457
2016-12-09,208.0000,177.6217
2016-12-12,207.7700,177.4252
2016-12-13,209.1900,178.6378
2016-12-14,207.4600,177.1605
2016-12-15,208.2300,177.8181
2016-12-16,207.8700,177.5106
2016-12-19,208.3400,177.9120
